PRCP,TAVG,TMAX,TMIN
0.01,59,67,53
0.05,57,64,46
0.19,60,68,57
0.56,56,60,53
0.35,59,67,53
0,67,79,56
0,70,78,65
0.09,65,72,63
0.11,60,67,58
0.19,59,65,55
0,56,64,51
0,58,69,49
0.09,66,72,61
0,57,63,54
0,59,70,55
0,61,70,53
0,55,65,48
0,56,66,48
0.12,55,62,48
0,53,59,47
0,53,62,46
0.19,55,61,46
0.03,52,62,39
0,56,65,44
0.17,62,64,58
0.34,53,61,49
0.01,54,63,45
0,60,66,53
0.12,63,74,53
0.04,54,62,52
0.34,50,59,46
0,47,57,45
0,49,60,36
0,57,63,45
0,57,60,56
0,57,62,57
0,53,59,52
0,54,59,45
0,55,60,51
0,52,60,46
0,49,57,43
0,51,58,47
0.08,51,57,52
0.3,51,56,42
0.51,49,55,41
0.41,51,59,47
0,53,59,47
0.01,52,59,48
0,47,54,42
0,47,56,40
0,46,57,39
0,49,59,43
0.02,50,55,46
0.04,49,53,46
0.01,49,54,48
0.01,52,59,47
0,54,60,49
0.01,56,60,53
0,56,59,55
0,53,58,53
0,49,59,43
0,51,57,44
0,45,53,45
0,42,51,33
0.04,46,49,38
0.01,44,51,38
0,41,48,39
0,40,48,35
0,38,48,30
0.51,42,50,33
0.02,43,50,37
0,44,50,41
0.11,45,56,32
0,50,55,34
0,48,56,40
0.01,56,61,49
0.02,53,55,52
0.37,47,50,46
0.22,39,41,39
0.02,37,43,33
0,35,42,34
0.05,31,38,28
0.05,37,42,29
0,40,46,38
0.04,39,47,29
0,44,49,30
0,43,47,44
0,41,48,38
0,46,50,38
0,44,47,45
0,36,46,29
0,39,46,29
0,35,40,30
0,38,44,29
0.02,44,47,33
0,41,47,41
0,41,47,36
0,51,59,37
0.17,57,61,47
0,50,58,49
0.02,55,57,44
0.01,47,50,44
0.05,44,49,43
0.13,46,51,35
0.07,51,56,46
0.27,47,53,49
0.17,46,53,38
0.01,45,47,43
0,40,45,31
0,45,49,33
0,42,49,39
0.18,39,47,29
0.01,42,45,28
0.01,42,51,40
0.25,47,54,42
0.09,45,55,41
0.09,51,57,44
0,40,44,38
0,41,47,32
0,40,48,32
0,42,53,30
0,51,54,38
0.27,49,51,48
0.01,39,43,36
0,35,39,29
0,37,42,29
0,39,44,36
0.03,41,50,29
0.13,50,54,32
0.01,49,52,49
0.07,49,53,45
0.01,44,46,42
0,46,53,40
0.04,44,46,43
0.02,36,38,37
0,34,38,32
0,38,48,32
0.01,47,51,36
0.01,48,51,47
0,48,51,47
0,47,50,44
0,45,47,45
0,43,49,44
0,33,41,26
0,34,42,28
0,42,52,31
0,49,54,36
0,48,53,47
0,42,44,41
0.05,43,49,40
0.02,39,45,37
0.08,39,47,30
0.41,47,54,32
0,48,51,47
0.01,44,53,35
0.12,50,54,43
0.26,42,46,41
0,38,46,34
0.01,35,45,27
0.14,41,48,27
0,40,47,36
0,38,49,30
0,40,42,32
0,37,40,37
0.44,36,42,31
0.21,39,44,34
0,44,48,37
0,43,49,42
0,48,56,38
0.01,46,50,42
0,49,57,45
0,51,55,48
0,50,54,47
0,52,56,49
0.15,51,56,45
0.58,48,52,47
0.03,43,47,42
0.11,41,50,35
0,49,57,40
0.13,46,55,44
0.05,38,47,36
0.19,39,48,32
0.2,41,49,35
0.2,42,46,38
0.25,44,48,41
0.25,43,47,43
0.04,41,45,39
0.1,39,45,32
0.07,42,54,33
0,49,57,39
0,48,55,44
0.07,50,57,46
0.04,50,55,49
0.06,46,56,42
0.01,51,60,40
0,53,59,51
0,52,63,39
0.01,48,55,47
0.09,45,53,39
0.05,53,55,44
0.08,52,60,52
0.06,46,53,46
0.6,39,48,34
0.69,39,47,36
0,44,49,40
0,43,51,37
0,42,55,32
0,45,55,35
0,46,57,42
