"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-16","8.50",,"0.00","0.0","0.0","66","75","54","  350","  310","17.0","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-17","4.70",,"0.00","0.0","0.0","61","73","50","  120","  130","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-18","7.83",,"0.01","0.0","0.0","65","80","54","  350","  340","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-19","5.82",,"0.00","0.0","0.0","58","66","40","  140","  150","13.0","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-20","6.49",,"0.00","0.0","0.0","55","74","38","  110","  110","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-21","4.92",,"0.00","0.0","0.0","64","79","53","  130","  320","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-22","5.82",,"0.06","0.0","0.0","62","73","47","  130","  120","16.1","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-23","9.40",,"0.00","0.0","0.0","68","72","54","  320","  310","21.0","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-24","4.25",,"0.00","0.0","0.0","63","82","45","  100","  320","14.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-25","2.91",,"0.01","0.0","0.0","63","71","49","  110","  130","8.9","12.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-26","4.47",,"0.00","0.0","0.0","61","76","45","  120","  130","13.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-27","4.70",,"0.00","0.0","0.0","62","76","47","   80","   50","15.0","19.9"
