"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-08","0.56","45","51","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-09","0.05","50","60","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-10","0.03","55","62","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-11","0.01","55","63","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-12","0.00","51","58","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-13","0.00","46","55","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-14","0.07","48","54","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-15","0.01","49","60","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-16","0.01","49","58","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-17","0.14","49","57","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-18","0.11","47","55","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-19","0.18","46","56","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-20","0.00","48","60","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-21","0.00","53","64","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-22","0.00","56","64","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-23","0.01","53","68","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-24","0.01","54","62","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-25","0.00","53","63","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-26","0.00","53","63","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-27","0.11","50","57","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-28","0.18","50","59","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-29","0.02","48","58","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-30","0.22","47","57","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-31","0.07","49","56","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-01","0.18","47","56","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-02","0.01","51","61","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-03","0.00","53","62","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-04","0.08","54","63","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-05","0.02","53","63","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-06","0.02","52","60","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-07","0.00","51","62","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-08","0.00","49","57","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-09","0.00","50","61","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-10","0.00","52","63","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-11","0.00","53","61","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-12","0.00","56","63","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-13","0.00","54","65","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-14","0.00","51","62","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-15","0.00","56","65","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-16","0.00","62","73","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-17","0.02","61","68","61"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-18","0.00","55","66","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-19","0.01","57","66","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-20","0.00","62","71","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-21","0.00","55","64","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-22","0.00","55","66","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-23","0.00","55","69","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-24","0.00","61","68","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-25","0.00","61","69","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-26","0.00","62","71","58"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-27","0.07","60","68","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-28","0.00","62","69","58"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-29","0.00","62","73","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-06-30","0.00","68","78","62"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-01","0.00","66","74","60"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-02","0.00","63","70","59"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-03","0.03","60","70","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-04","0.18","62","72","58"
